Packet ID,Modal Type,Hop Latency (us),e2e Delay (us),Queue Occupancy (kb),IAT (ns),Hop Jitter (ns),e2e Jitter (ns),Is Anomaly
9,NDN,3.001234650752877,12.960959337917068,313.48616729841785,398.0562561625827,219.2501012481529,438.5002024963058,0
12,NDN,2.9783640276757986,13.031927611415595,236.50765489174833,401.29547168612413,50.825222144606826,101.65044428921365,0
13,NDN,3.4876534493787235,15.013855586499183,178.5970872918104,403.70078440302063,94.08567973875509,188.17135947751018,0
15,NDN,3.366219743755751,14.33913518927331,320.63224359451175,404.7774364030081,131.51490637395585,263.0298127479117,0
23,NDN,3.870749843205698,16.724277698599018,332.837104991877,390.5507855584624,141.67356672988552,283.34713345977104,0
25,NDN,4.066233120291477,17.30950526064258,297.6458223012974,407.4569926462279,103.73422635053898,207.46845270107795,0
33,NDN,3.3234979676789917,14.306557771429285,300.7175612749191,394.67551786646465,293.2663407532805,586.532681506561,0
38,NDN,3.4702533895533056,14.844118069791671,115.47920270328432,405.4544061319498,224.54452477597619,449.08904955195237,0
41,NDN,3.8860987290640985,16.540318237492702,342.3670805604091,407.5533505808586,127.99714652814728,255.99429305629457,0
50,NDN,3.468836201247807,15.009008795102782,384.3844860502697,389.1589011597839,131.31309598961278,262.62619197922555,0
51,NDN,3.782360597816697,16.035650542283566,309.5648795502599,408.1309878182476,146.84000844903363,293.68001689806727,0
55,NDN,3.2513648220380107,13.929815668313827,227.05851836417006,409.96929431410365,261.7884412494405,523.576882498881,0
56,NDN,3.4808012416217426,15.129582906425808,383.85456280115216,393.986508025629,111.39947135985265,222.7989427197053,0
74,NDN,3.068002463966246,13.208415622857705,311.76646218467044,402.9026501992432,251.09049967619927,502.18099935239854,0
85,NDN,2.9264197136962844,12.850780196209469,280.4430307773473,392.80785916337624,274.7650158550623,549.5300317101246,0
88,NDN,2.938002481437055,12.986284486102527,141.41780403234424,396.75150587676774,129.58880220277072,259.17760440554144,0
89,NDN,3.080889415707293,13.405425864506947,263.1572048412885,407.0934713876711,164.04791929004367,328.09583858008733,0
90,NDN,2.9995944305967894,13.190706784138717,366.09801053821803,392.4470491879771,155.05175704265517,310.10351408531034,0
91,NDN,3.867353368834129,16.697980723394313,371.363329185457,389.124249477279,33.785518671262494,67.57103734252499,0
92,NDN,2.977942032317714,12.79532726674467,114.8074853787882,410.34610978111044,266.92390123541463,533.8478024708293,0
100,NDN,2.9848049305803395,13.151324055629544,237.29857016297285,399.0614464940459,72.85130024770707,145.70260049541415,0
101,NDN,3.35098907944308,14.579692841060057,336.22781875424505,400.13946606180957,167.76295469296738,335.52590938593477,0
103,NDN,3.8602121775260314,16.648344302860785,112.99130330655754,407.937528817771,111.96381144361241,223.92762288722483,0
